[2026-04-30 19:38:56] ============================================================
[2026-04-30 19:38:56] Trial 642024 starting on cuda:0
[2026-04-30 19:38:56] Timestamp: 2026-04-30T19:38:56.739341
[2026-04-30 19:38:56] --- Config summary ---
  model_type        : cnn
  bottleneck_dim    : 240
  n_enc_layers      : 5
  n_dec_layers      : 3
  base_channels     : 45
  growth_factor     : 2.420701279177553
  use_batchnorm     : True
  mlp_input_size    : 64
  mlp_hidden_sizes  : [1024, 256]
  mlp_dropout       : 0.1
  use_hpf           : True
  hpf_sigma         : 1.0150899986921562
  lr                : 0.00022215300717804413
  batch_size        : 24
  decoder_upsample  : nearest
  max_epochs        : 300
  min_epochs        : 30
  patience          : 30
  seed              : 2024
  deterministic     : False
  trial_num         : 642024
[2026-04-30 19:38:56] Loading train/val/selection splits...
[2026-04-30 19:39:04] Splits loaded in 8.0s: n_train=722, n_val=120, n_selection=405
[2026-04-30 19:39:05] --- Architecture summary ---
[2026-04-30 19:41:46] epoch   89/300 | train=0.000658 | val=0.000805 | best=0.000622@83 | patience=6/30 | time=1.23s
[2026-04-30 19:41:47] epoch   90/300 | train=0.000793 | val=0.000841 | best=0.000622@83 | patience=7/30 | time=1.23s
[2026-04-30 19:41:48] epoch   91/300 | train=0.000684 | val=0.000646 | best=0.000622@83 | patience=8/30 | time=1.23s
[2026-04-30 19:41:50] epoch   92/300 | train=0.000685 | val=0.000620 | best=0.000620@92 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:51] epoch   93/300 | train=0.000638 | val=0.000595 | best=0.000595@93 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:53] epoch   94/300 | train=0.000641 | val=0.000637 | best=0.000595@93 | patience=1/30 | time=1.23s
[2026-04-30 19:41:54] epoch   95/300 | train=0.000647 | val=0.000630 | best=0.000595@93 | patience=2/30 | time=1.23s
[2026-04-30 19:41:56] epoch   96/300 | train=0.000642 | val=0.000594 | best=0.000594@96 | patience=0/30 | time=1.23s *
[2026-04-30 19:41:57] epoch   97/300 | train=0.000627 | val=0.000673 | best=0.000594@96 | patience=1/30 | time=1.24s
[2026-04-30 19:41:58] epoch   98/300 | train=0.000631 | val=0.000679 | best=0.000594@96 | patience=2/30 | time=1.23s
[2026-04-30 19:41:59] epoch   99/300 | train=0.000655 | val=0.000707 | best=0.000594@96 | patience=3/30 | time=1.23s
[2026-04-30 19:42:01] epoch  100/300 | train=0.000669 | val=0.000685 | best=0.000594@96 | patience=4/30 | time=1.23s
[2026-04-30 19:42:02] epoch  101/300 | train=0.000647 | val=0.000719 | best=0.000594@96 | patience=5/30 | time=1.23s
[2026-04-30 19:42:03] epoch  102/300 | train=0.000798 | val=0.000702 | best=0.000594@96 | patience=6/30 | time=1.23s
[2026-04-30 19:42:04] epoch  103/300 | train=0.000766 | val=0.000774 | best=0.000594@96 | patience=7/30 | time=1.23s
[2026-04-30 19:42:05] epoch  104/300 | train=0.000714 | val=0.000737 | best=0.000594@96 | patience=8/30 | time=1.23s
[2026-04-30 19:42:07] epoch  105/300 | train=0.000697 | val=0.000655 | best=0.000594@96 | patience=9/30 | time=1.23s
[2026-04-30 19:42:08] epoch  106/300 | train=0.000678 | val=0.000624 | best=0.000594@96 | patience=10/30 | time=1.23s
[2026-04-30 19:42:09] epoch  107/300 | train=0.000638 | val=0.000716 | best=0.000594@96 | patience=11/30 | time=1.24s
[2026-04-30 19:42:10] epoch  108/300 | train=0.000625 | val=0.000686 | best=0.000594@96 | patience=12/30 | time=1.23s
[2026-04-30 19:42:12] epoch  109/300 | train=0.000662 | val=0.000680 | best=0.000594@96 | patience=13/30 | time=1.23s
[2026-04-30 19:42:13] epoch  110/300 | train=0.000616 | val=0.000626 | best=0.000594@96 | patience=14/30 | time=1.23s
[2026-04-30 19:42:15] epoch  111/300 | train=0.000645 | val=0.000589 | best=0.000589@111 | patience=0/30 | time=1.23s *
